id,account_id,system_required,sub_account_editable,created_at,updated_at
1,1,1,1,2007-09-25 19:34:24,2009-01-17 15:16:01
2,55,0,1,2007-09-29 17:31:11,2009-01-17 15:16:01
3,2,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
4,3,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
5,4,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
6,5,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
7,6,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
8,7,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
9,8,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
10,9,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
11,56,0,1,2007-09-29 17:51:08,2009-01-17 15:16:02
12,53,0,1,2007-09-29 17:25:33,2009-01-17 15:16:02
13,11,1,1,2007-09-29 17:25:33,2009-01-17 15:16:02
14,10,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
15,12,0,1,2007-03-29 22:48:12,2009-01-17 15:16:04
16,13,1,1,2007-03-29 22:48:12,2009-01-17 15:16:04
17,14,0,1,2007-03-29 22:48:12,2009-01-17 15:16:04
18,15,0,1,2007-03-29 22:48:12,2009-01-17 15:16:04
19,16,0,1,2007-03-29 22:48:12,2007-10-11 23:06:39
20,18,1,1,2007-03-29 22:48:12,2009-01-17 15:16:04
21,19,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
22,20,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
23,21,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
24,22,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
25,23,1,1,2007-03-29 22:48:12,2010-03-12 12:00:00
26,24,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
27,25,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
28,26,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
29,27,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
30,28,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
31,29,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
32,30,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
33,31,1,1,2007-03-29 22:48:12,2009-01-17 15:16:03
34,32,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
35,34,0,1,2007-04-15 02:42:50,2009-01-17 15:16:03
36,35,0,1,2007-04-16 19:52:12,2009-01-17 15:16:03
37,36,0,1,2007-04-16 20:15:44,2009-01-17 15:16:02
38,37,0,1,2007-04-16 22:54:19,2009-01-17 15:16:03
39,38,0,1,2007-04-22 21:33:30,2009-01-17 15:16:03
