"id","apply_start_ym","apply_end_ym","grade","pay_range_above","pay_range_under","monthly_earnings","daily_earnings","health_insurance_all","health_insurance_half","health_insurance_all_care","health_insurance_half_care","welfare_pension_insurance_all","welfare_pension_insurance_half","created_at","updated_at"
95,200809,200902,1,0,63000,58000,1930,4756,2378,5411.4,2705.7,0,0,"2009-04-23 22:49:39","2009-04-23 22:49:39"
96,200809,200902,2,63000,73000,68000,2270,5576,2788,6344.4,3172.2,0,0,"2009-04-23 22:49:39","2009-04-23 22:49:39"
97,200809,200902,3,73000,83000,78000,2600,6396,3198,7277.4,3638.7,0,0,"2009-04-23 22:49:39","2009-04-23 22:49:39"
98,200809,200902,4,83000,93000,88000,2930,7216,3608,8210.4,4105.2,0,0,"2009-04-23 22:49:39","2009-04-23 22:49:39"
99,200809,200902,5,93000,101000,98000,3270,8036,4018,9143.4,4571.7,15043,7521.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
100,200809,200902,6,101000,107000,104000,3470,8528,4264,9703.2,4851.6,15964,7982,"2009-04-23 22:49:39","2009-04-23 22:49:39"
101,200809,200902,7,107000,114000,110000,3670,9020,4510,10263,5131.5,16885,8442.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
102,200809,200902,8,114000,122000,118000,3930,9676,4838,11009.4,5504.7,18113,9056.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
103,200809,200902,9,122000,130000,126000,4200,10332,5166,11755.8,5877.9,19341,9670.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
104,200809,200902,10,130000,138000,134000,4470,10988,5494,12502.2,6251.1,20569,10284.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
105,200809,200902,11,138000,146000,142000,4730,11644,5822,13248.6,6624.3,21797,10898.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
106,200809,200902,12,146000,155000,150000,5000,12300,6150,13995,6997.5,23025,11512.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
107,200809,200902,13,155000,165000,160000,5330,13120,6560,14928,7464,24560,12280,"2009-04-23 22:49:39","2009-04-23 22:49:39"
108,200809,200902,14,165000,175000,170000,5670,13940,6970,15861,7930.5,26095,13047.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
109,200809,200902,15,175000,185000,180000,6000,14760,7380,16794,8397,27630,13815,"2009-04-23 22:49:39","2009-04-23 22:49:39"
110,200809,200902,16,185000,195000,190000,6330,15580,7790,17727,8863.5,29165,14582.5,"2009-04-23 22:49:39","2009-04-23 22:49:39"
111,200809,200902,17,195000,210000,200000,6670,16400,8200,18660,9330,30700,15350,"2009-04-23 22:49:39","2009-04-23 22:49:39"
112,200809,200902,18,210000,230000,220000,7330,18040,9020,20526,10263,33770,16885,"2009-04-23 22:49:39","2009-04-23 22:49:39"
113,200809,200902,19,230000,250000,240000,8000,19680,9840,22392,11196,36840,18420,"2009-04-23 22:49:39","2009-04-23 22:49:39"
